ticker,trade_date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,daily_return,price_change,ma_7
AAPL,2025-05-15,210.9499969482422,212.9600067138672,209.5399932861328,211.4499969482422,210.6144561767578,45029500,,0.5,
AAPL,2025-05-16,212.36000061035156,212.57000732421875,209.77000427246094,211.25999450683594,210.42518615722656,54737900,-0.0008985691376138805,-1.100006103515625,
AAPL,2025-05-19,207.91000366210938,209.47999572753906,204.25999450683594,208.77999877929688,207.9550018310547,46140500,-0.011739069355408915,0.8699951171875,
AAPL,2025-05-20,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,206.04258728027344,42496600,-0.009196274452396014,-0.80999755859375,
AAPL,2025-05-21,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789062,201.2914276123047,59211800,-0.02305909435553888,-3.0800018310546875,
AAPL,2025-05-22,200.7100067138672,202.75,199.6999969482422,201.36000061035156,200.56431579589844,46742400,-0.003612230891026025,0.649993896484375,
AAPL,2025-05-23,193.6699981689453,197.6999969482422,193.4600067138672,195.27000427246094,194.49839782714844,78432900,-0.03024432021966106,1.600006103515625,205.29571315220423
AAPL,2025-05-27,198.3000030517578,200.74000549316406,197.42999267578125,200.2100067138672,199.4188690185547,56288500,0.025298316860348224,1.910003662109375,203.69000026157923
AAPL,2025-05-28,200.58999633789062,202.72999572753906,199.89999389648438,200.4199981689453,199.62803649902344,45339700,0.0010488559414427723,-0.1699981689453125,202.1414293561663
AAPL,2025-05-29,203.5800018310547,203.80999755859375,198.50999450683594,199.9499969482422,199.15988159179688,51396800,-0.0023450814539321962,-3.6300048828125,200.8800005231585
AAPL,2025-05-30,199.3699951171875,201.9600067138672,196.77999877929688,200.85000610351562,200.05633544921875,70819900,0.0045011711378339925,1.480010986328125,200.02142987932478
AAPL,2025-06-02,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,200.90296936035156,35423300,0.0042319682295079986,1.4199981689453125,199.96571568080358
AAPL,2025-06-03,201.35000610351562,203.77000427246094,200.9600067138672,203.27000427246094,202.46676635742188,46381600,0.0077838738124602624,1.9199981689453125,200.2385733468192
AAPL,2025-06-04,202.91000366210938,206.24000549316406,202.10000610351562,202.82000732421875,202.01856994628906,43604000,-0.00221378923984783,-0.089996337890625,201.31714521135603
AAPL,2025-06-05,203.5,204.75,200.14999389648438,200.6300048828125,199.8372039794922,55126100,-0.010797763348392997,-2.8699951171875,201.37714494977678
AAPL,2025-06-06,203.0,205.6999969482422,202.0500030517578,203.9199981689453,203.11419677734375,46607700,0.0163983113495636,0.9199981689453125,201.87714494977678
AAPL,2025-06-09,204.38999938964844,206.0,200.02000427246094,201.4499969482422,200.65394592285156,72862600,-0.012112599268742419,-2.94000244140625,202.0914306640625
AAPL,2025-06-10,200.60000610351562,204.35000610351562,200.57000732421875,202.6699981689453,201.869140625,54672600,0.0060560994747325125,2.0699920654296875,202.35142953055245
AAPL,2025-06-11,203.5,204.5,198.41000366210938,198.77999877929688,197.9945068359375,60989900,-0.019193760422328232,-4.720001220703125,201.93428693498885
AAPL,2025-06-12,199.0800018310547,199.67999267578125,197.36000061035156,199.1999969482422,198.41285705566406,43904600,0.002112879422097258,0.1199951171875,201.3528573172433
AAPL,2025-06-13,199.72999572753906,200.3699951171875,195.6999969482422,196.4499969482422,195.67372131347656,51447300,-0.013805221095031128,-3.279998779296875,200.44285583496094
AAPL,2025-06-16,197.3000030517578,198.69000244140625,196.55999755859375,198.4199981689453,197.63592529296875,43020700,0.010028003315378786,1.1199951171875,200.12714059012276
AAPL,2025-06-17,197.1999969482422,198.38999938964844,195.2100067138672,195.63999938964844,194.86691284179688,38856200,-0.014010678383989505,-1.55999755859375,198.94428362165178
AAPL,2025-06-18,195.94000244140625,197.57000732421875,195.07000732421875,196.5800018310547,195.80320739746094,45394700,0.004804755900321256,0.6399993896484375,198.24857003348214
AAPL,2025-06-20,198.24000549316406,201.6999969482422,196.86000061035156,201.0,200.20574951171875,96813500,0.022484475164182616,2.7599945068359375,198.00999886648995
AAPL,2025-06-23,201.6300048828125,202.3000030517578,198.9600067138672,201.5,200.70375061035156,55814300,0.0024875621890547706,-0.1300048828125,198.39857046944755
AAPL,2025-06-24,202.58999633789062,203.44000244140625,200.1999969482422,200.3000030517578,199.50851440429688,54064000,-0.005955319842392948,-2.2899932861328125,198.5557141985212
AAPL,2025-06-25,201.4499969482422,203.6699981689453,200.6199951171875,201.55999755859375,200.7635498046875,39525700,0.0062905366332437485,0.1100006103515625,199.28571428571428
AAPL,2025-06-26,201.42999267578125,202.63999938964844,199.4600067138672,201.0,200.20574951171875,50799100,-0.002778316954637594,-0.42999267578125,199.65428597586495
AAPL,2025-06-27,201.88999938964844,203.22000122070312,200.0,201.0800018310547,200.28543090820312,73188600,0.00039801905997349785,-0.80999755859375,200.43142918178015
AAPL,2025-06-30,202.00999450683594,207.38999938964844,199.25999450683594,205.1699981689453,204.3592529296875,91912800,0.020340144721736175,3.160003662109375,201.65857151576452
AAPL,2025-07-01,206.6699981689453,210.19000244140625,206.13999938964844,207.82000732421875,206.99879455566406,78788900,0.012916163079025322,1.1500091552734375,202.6328582763672
AAPL,2025-07-02,208.91000366210938,213.33999633789062,208.13999938964844,212.44000244140625,211.60052490234375,67941800,0.022230752354752248,3.529998779296875,204.19571576799666
AAPL,2025-07-03,212.14999389648438,214.64999389648438,211.80999755859375,213.5500030517578,212.70614624023438,34955800,0.005225007520218483,1.4000091552734375,206.0885729108538
AAPL,2025-07-07,212.67999267578125,216.22999572753906,208.8000030517578,209.9499969482422,209.120361328125,50229000,-0.016857907057220234,-2.7299957275390625,207.28714425223214
AAPL,2025-07-08,210.10000610351562,211.42999267578125,208.4499969482422,210.00999450683594,209.1801300048828,42848900,0.00028577070476720756,-0.0900115966796875,208.57428632463728
AAPL,2025-07-09,209.52999877929688,211.3300018310547,207.22000122070312,211.13999938964844,210.30567932128906,48749400,0.005380719548448543,1.6100006103515625,210.0114288330078
AAPL,2025-07-10,210.50999450683594,213.47999572753906,210.02999877929688,212.41000366210938,211.57064819335938,44443600,0.0060149866256142825,1.9000091552734375,211.04571533203125
AAPL,2025-07-11,210.57000732421875,212.1300048828125,209.86000061035156,211.16000366210938,210.32557678222656,39765800,-0.005884845244805148,0.589996337890625,211.52285766601562
AAPL,2025-07-14,209.92999267578125,210.91000366210938,207.5399932861328,208.6199951171875,207.7956085205078,38840100,-0.012028833590031152,-1.30999755859375,210.97714233398438
AAPL,2025-07-15,209.22000122070312,211.88999938964844,208.9199981689453,209.11000061035156,208.28369140625,42296300,0.0023487944810314243,-0.1100006103515625,210.34285627092635
AAPL,2025-07-16,210.3000030517578,212.39999389648438,208.63999938964844,210.16000366210938,209.32955932617188,47490500,0.005021295245053015,-0.1399993896484375,210.37285723005022
AAPL,2025-07-17,210.57000732421875,211.8000030517578,209.58999633789062,210.02000427246094,209.1901092529297,48068100,-0.0006661562010320532,-0.5500030517578125,210.37428719656808
AAPL,2025-07-18,210.8699951171875,211.7899932861328,209.6999969482422,211.17999267578125,210.3455047607422,48974600,0.005523228167424676,0.30999755859375,210.3800005231585
