ticker,trade_date,open_price,high_price,low_price,close_price,adjusted_close_price,volume,daily_return,price_change,ma_7,avg_sentiment_score,news_count,market_insight,recommendation_signal,confidence_score,risk_classification
AAPL,2025-05-15,210.9499969482422,212.9600067138672,209.5399932861328,211.4499969482422,210.6144561767578,45029500,,0.5,,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,,MEDIUM_RISK
AAPL,2025-05-16,212.36000061035156,212.57000732421875,209.77000427246097,211.2599945068359,210.42518615722656,54737900,-0.0008985691376138,-1.100006103515625,,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,0.9,MEDIUM_RISK
AAPL,2025-05-19,207.91000366210935,209.47999572753903,204.2599945068359,208.77999877929688,207.9550018310547,46140500,-0.0117390693554089,0.8699951171875,,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,11.74,MEDIUM_RISK
AAPL,2025-05-20,207.6699981689453,208.47000122070312,205.02999877929688,206.86000061035156,206.04258728027344,42496600,-0.009196274452396,-0.80999755859375,,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,9.2,MEDIUM_RISK
AAPL,2025-05-21,205.1699981689453,207.0399932861328,200.7100067138672,202.08999633789065,201.2914276123047,59211800,-0.0230590943555388,-3.0800018310546875,,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,23.06,MEDIUM_RISK
AAPL,2025-05-22,200.7100067138672,202.75,199.6999969482422,201.36000061035156,200.56431579589844,46742400,-0.003612230891026,0.649993896484375,,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,3.61,MEDIUM_RISK
AAPL,2025-05-23,193.6699981689453,197.6999969482422,193.4600067138672,195.27000427246097,194.49839782714844,78432900,-0.030244320219661,1.600006103515625,205.29571315220423,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,30.24,MEDIUM_RISK
AAPL,2025-05-27,198.3000030517578,200.7400054931641,197.42999267578125,200.2100067138672,199.4188690185547,56288500,0.0252983168603482,1.910003662109375,203.69000026157923,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,25.3,MEDIUM_RISK
AAPL,2025-05-28,200.58999633789065,202.72999572753903,199.8999938964844,200.4199981689453,199.62803649902344,45339700,0.0010488559414427,-0.1699981689453125,202.1414293561663,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,1.05,MEDIUM_RISK
AAPL,2025-05-29,203.5800018310547,203.80999755859375,198.5099945068359,199.9499969482422,199.15988159179688,51396800,-0.0023450814539321,-3.6300048828125,200.8800005231585,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,2.35,MEDIUM_RISK
AAPL,2025-05-30,199.3699951171875,201.9600067138672,196.77999877929688,200.8500061035156,200.05633544921875,70819900,0.0045011711378339,1.480010986328125,200.0214298793248,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,4.5,MEDIUM_RISK
AAPL,2025-06-02,200.27999877929688,202.1300048828125,200.1199951171875,201.6999969482422,200.90296936035156,35423300,0.0042319682295079,1.4199981689453125,199.9657156808036,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,4.23,MEDIUM_RISK
AAPL,2025-06-03,201.3500061035156,203.77000427246097,200.9600067138672,203.27000427246097,202.46676635742188,46381600,0.0077838738124602,1.9199981689453125,200.2385733468192,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,7.78,MEDIUM_RISK
AAPL,2025-06-04,202.91000366210935,206.2400054931641,202.1000061035156,202.82000732421875,202.01856994628903,43604000,-0.0022137892398478,-0.089996337890625,201.31714521135603,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,2.21,MEDIUM_RISK
AAPL,2025-06-05,203.5,204.75,200.1499938964844,200.6300048828125,199.8372039794922,55126100,-0.0107977633483929,-2.8699951171875,201.3771449497768,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,10.8,MEDIUM_RISK
AAPL,2025-06-06,203.0,205.6999969482422,202.0500030517578,203.9199981689453,203.11419677734375,46607700,0.0163983113495636,0.9199981689453124,201.8771449497768,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,16.4,MEDIUM_RISK
AAPL,2025-06-09,204.38999938964844,206.0,200.02000427246097,201.4499969482422,200.65394592285156,72862600,-0.0121125992687424,-2.94000244140625,202.0914306640625,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,12.11,MEDIUM_RISK
AAPL,2025-06-10,200.6000061035156,204.3500061035156,200.57000732421875,202.6699981689453,201.869140625,54672600,0.0060560994747325,2.0699920654296875,202.35142953055245,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,6.06,MEDIUM_RISK
AAPL,2025-06-11,203.5,204.5,198.41000366210935,198.77999877929688,197.9945068359375,60989900,-0.0191937604223282,-4.720001220703125,201.93428693498885,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,19.19,MEDIUM_RISK
AAPL,2025-06-12,199.0800018310547,199.67999267578125,197.36000061035156,199.1999969482422,198.4128570556641,43904600,0.0021128794220972,0.1199951171875,201.3528573172433,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,2.11,MEDIUM_RISK
AAPL,2025-06-13,199.72999572753903,200.3699951171875,195.6999969482422,196.4499969482422,195.67372131347656,51447300,-0.0138052210950311,-3.279998779296875,200.44285583496097,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,13.81,MEDIUM_RISK
AAPL,2025-06-16,197.3000030517578,198.69000244140625,196.55999755859375,198.4199981689453,197.63592529296875,43020700,0.0100280033153787,1.1199951171875,200.12714059012276,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,10.03,MEDIUM_RISK
AAPL,2025-06-17,197.1999969482422,198.38999938964844,195.2100067138672,195.63999938964844,194.86691284179688,38856200,-0.0140106783839895,-1.55999755859375,198.94428362165175,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,14.01,MEDIUM_RISK
AAPL,2025-06-18,195.94000244140625,197.57000732421875,195.07000732421875,196.5800018310547,195.80320739746097,45394700,0.0048047559003212,0.6399993896484375,198.24857003348217,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,4.8,MEDIUM_RISK
AAPL,2025-06-20,198.2400054931641,201.6999969482422,196.86000061035156,201.0,200.20574951171875,96813500,0.0224844751641826,2.7599945068359375,198.00999886648995,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,22.48,MEDIUM_RISK
AAPL,2025-06-23,201.6300048828125,202.3000030517578,198.9600067138672,201.5,200.70375061035156,55814300,0.0024875621890547,-0.1300048828125,198.39857046944755,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,2.49,MEDIUM_RISK
AAPL,2025-06-24,202.58999633789065,203.44000244140625,200.1999969482422,200.3000030517578,199.50851440429688,54064000,-0.0059553198423929,-2.2899932861328125,198.5557141985212,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,5.96,MEDIUM_RISK
AAPL,2025-06-25,201.4499969482422,203.6699981689453,200.6199951171875,201.55999755859375,200.7635498046875,39525700,0.0062905366332437,0.1100006103515625,199.28571428571428,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,6.29,MEDIUM_RISK
AAPL,2025-06-26,201.42999267578125,202.63999938964844,199.4600067138672,201.0,200.20574951171875,50799100,-0.0027783169546375,-0.42999267578125,199.65428597586495,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,2.78,MEDIUM_RISK
AAPL,2025-06-27,201.88999938964844,203.22000122070312,200.0,201.0800018310547,200.28543090820312,73188600,0.0003980190599734,-0.80999755859375,200.43142918178015,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,0.4,MEDIUM_RISK
AAPL,2025-06-30,202.0099945068359,207.38999938964844,199.2599945068359,205.1699981689453,204.3592529296875,91912800,0.0203401447217361,3.160003662109375,201.65857151576452,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,20.34,MEDIUM_RISK
AAPL,2025-07-01,206.6699981689453,210.19000244140625,206.13999938964844,207.82000732421875,206.9987945556641,78788900,0.0129161630790253,1.1500091552734375,202.6328582763672,0.0,0,AAPL: No significant news coverage. Price movement driven by market factors.,HOLD_SIGNAL,12.92,MEDIUM_RISK
